scenario	antigen	bin	freq	min	max	median	n
Two-hit	unbound	0.25	0.022280471821756225	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.3	0.0035714285714285713	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.3	0.010484927916120577	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.35	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.35	0.002621231979030144	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.4	0.0011904761904761906	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.4	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.45	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.45	0.001310615989515072	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.5	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.5	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.55	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.55	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.6	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.6	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.65	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.65	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.7	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.7	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.75	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.75	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.8	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.8	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.85	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.85	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.9	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.9	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.95	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.95	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	1.0	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	1.0	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
